epoch,accuracy,loss,val_accuracy,val_loss
0,0.013221153989434242,4.030121803283691,0.012500000186264515,4.024102687835693
1,0.018028846010565758,4.023380279541016,0.01875000074505806,4.021759986877441
2,0.020432692021131516,4.021040439605713,0.012500000186264515,4.016051292419434
3,0.01923076994717121,4.019134521484375,0.012500000186264515,4.01662015914917
4,0.022235576063394547,4.015278339385986,0.012500000186264515,4.012694358825684
5,0.022235576063394547,4.01453161239624,0.0062500000931322575,4.011449337005615
6,0.022235576063394547,4.013648986816406,0.0062500000931322575,4.015848159790039
7,0.022235576063394547,4.013302326202393,0.012500000186264515,4.013354301452637
8,0.022235576063394547,4.0116190910339355,0.012500000186264515,4.019371509552002
9,0.022235576063394547,4.01170015335083,0.0062500000931322575,4.012824058532715
10,0.01923076994717121,4.011411666870117,0.0062500000931322575,4.012269496917725
11,0.020432692021131516,4.011803150177002,0.012500000186264515,4.009809970855713
12,0.021033653989434242,4.0113019943237305,0.0062500000931322575,4.018606185913086
13,0.01923076994717121,4.011303901672363,0.0,4.012600898742676
14,0.022235576063394547,4.011192798614502,0.012500000186264515,4.012007236480713
15,0.01742788404226303,4.010514736175537,0.0062500000931322575,4.007630348205566
16,0.020432692021131516,4.010735034942627,0.0062500000931322575,4.0148491859436035
17,0.01742788404226303,4.0105180740356445,0.0062500000931322575,4.0154829025268555
18,0.01742788404226303,4.0105204582214355,0.0062500000931322575,4.012038707733154
19,0.022235576063394547,4.010746002197266,0.0062500000931322575,4.008803367614746
20,0.01923076994717121,4.012726306915283,0.0062500000931322575,4.00851583480835
21,0.022836538031697273,4.0115180015563965,0.0062500000931322575,4.005650520324707
22,0.022235576063394547,4.012242794036865,0.0062500000931322575,4.012387275695801
23,0.04266826808452606,3.880523681640625,0.13750000298023224,3.413357973098755
24,0.16466346383094788,3.037613868713379,0.28125,2.5430080890655518
25,0.32451921701431274,2.3056116104125977,0.3687500059604645,2.118339776992798
26,0.4447115361690521,1.8536633253097534,0.5562499761581421,1.6644904613494873
27,0.5528846383094788,1.5247645378112793,0.5687500238418579,1.483299970626831
28,0.6478365659713745,1.2463524341583252,0.643750011920929,1.3726167678833008
29,0.703125,1.066440463066101,0.6499999761581421,1.2846925258636475
30,0.7770432829856873,0.9242838621139526,0.6000000238418579,1.301788091659546
31,0.801682710647583,0.8251771330833435,0.71875,1.202754020690918
32,0.8575721383094788,0.6888250708580017,0.706250011920929,1.146864652633667
33,0.8882211446762085,0.6054620146751404,0.71875,1.1703081130981445
34,0.9236778616905212,0.524375319480896,0.6937500238418579,1.1726043224334717
35,0.932692289352417,0.4704897701740265,0.737500011920929,1.0765857696533203
36,0.9471153616905212,0.40809065103530884,0.71875,1.0259473323822021
37,0.9675480723381042,0.3647386133670807,0.699999988079071,1.1592495441436768
38,0.9831730723381042,0.3112439811229706,0.7250000238418579,1.098804235458374
39,0.987379789352417,0.27690690755844116,0.7124999761581421,1.0757007598876953
